"LOCATION","Country","SKILL","Skills","Value","Flag Codes","Flags"
"AUS","Australia","01-1","fine arts",-0.012,,
"AUS","Australia","01-2","history and archaeology",-0.017,,
"AUS","Australia","01-3","philosophy and theology",-0.136,,
"AUS","Australia","01","arts and humanities knowledge",-0.103,,
"AUS","Australia","02-1","adaptability/resilience",-0.085,,
"AUS","Australia","02-2","motivation/commitment",-0.206,,
"AUS","Australia","02-3","self-management/rigour",-0.272,,
"AUS","Australia","02-4","values",-0.015,,
"AUS","Australia","02","attitudes",-0.275,,
"AUS","Australia","03-1","clerical",-0.188,,
"AUS","Australia","03-2","customer and personal service",-0.337,,
"AUS","Australia","03-3","sales and marketing",-0.229,,
"AUS","Australia","03","business processes",-0.469,,
"AUS","Australia","04-1","learning",0.266,,
"AUS","Australia","04-2","originality",0.007,,
"AUS","Australia","04-3","quantitative abilities",-0.298,,
"AUS","Australia","04-4","reasoning and problem-solving",-0.122,,
"AUS","Australia","04","cognitive skills",-0.03,,
"AUS","Australia","05-1","active listening",-0.214,,
"AUS","Australia","05-2","communications and media",-0.146,,
"AUS","Australia","05-3","reading comprehension",-0.302,,
"AUS","Australia","05-4","speaking",-0.153,,
"AUS","Australia","05-5","writing",-0.119,,
"AUS","Australia","05","communication skills",-0.349,,
"AUS","Australia","06-1","computer programming",-0.135,,
"AUS","Australia","06-2","digital content creation",-0.027,,
"AUS","Australia","06-3","digital data processing",-0.226,,
"AUS","Australia","06-4","ict safety, networks and servers",-0.154,,
"AUS","Australia","06-5","office tools and collaboration software",-0.213,,
"AUS","Australia","06-6","web development and cloud technologies",-0.135,,
"AUS","Australia","06","digital skills",-0.278,,
"AUS","Australia","07-1","law and government",-0.027,,
"AUS","Australia","07-2","public safety and security",-0.163,,
"AUS","Australia","07","law and public safety knowledge",-0.178,,
"AUS","Australia","08-1","medicine and dentistry",0.154,,
"AUS","Australia","08-2","psychology, therapy, counselling",0.274,,
"AUS","Australia","08","medicine knowledge",0.437,,
"AUS","Australia","09-1","auditory and speech abilities",-0.121,,
"AUS","Australia","09-2","physical abilities",-0.309,,
"AUS","Australia","09-3","psychomotor abilities",-0.186,,
"AUS","Australia","09","physical skills",-0.385,,
"AUS","Australia","10-1","building and construction",-0.269,,
"AUS","Australia","10-2","design",-0.236,,
