country.id,country.name
57.0,Germany
29.0,Mexico
59.0,Netherlands
42.0,Brazil
38.0,France
1.0,United States
12.0,Spain
28.0,Portugal
,
20.0,Australia
44.0,Morocco
60.0,Argentina
46.0,Belgium
35.0,Indonesia
2.0,Canada
15.0,China
48.0,Japan
32.0,Switzerland
56.0,Singapore
61.0,England
34.0,United Arab Emirates
22.0,Chile
171.0,Mauritius
17.0,South Africa
11.0,United Kingdom
58.0,Venezuela
18.0,Costa Rica
33.0,Uruguay
39.0,Italy
25.0,Ireland
30.0,Colombia
196.0,Peru
113.0,Ecuador
83.0,Bolivia
4.0,Romania
21.0,Hungary
37.0,Sweden
